,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
114,23,student,single,secondary,no,794,no,no,cellular,26,jul,607,3,171,3,other,yes
115,23,student,single,secondary,no,922,no,no,cellular,28,may,538,2,184,9,failure,yes
116,23,student,single,secondary,no,1234,no,no,cellular,15,feb,379,1,91,1,success,yes
117,23,student,single,secondary,no,1234,no,no,cellular,16,nov,250,1,-1,0,unknown,yes
118,23,student,single,secondary,no,1298,no,no,cellular,14,jul,603,1,-1,0,unknown,yes
119,23,student,single,secondary,no,1809,no,no,cellular,8,jul,414,2,-1,0,unknown,yes
120,23,student,single,secondary,no,4126,no,no,cellular,25,mar,96,2,-1,0,unknown,yes
121,23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown,no
122,23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
123,23,student,single,tertiary,no,0,no,no,cellular,10,aug,213,1,-1,0,unknown,yes
124,23,student,single,tertiary,no,82,no,no,cellular,4,may,289,4,-1,0,unknown,no
125,23,student,single,tertiary,no,113,no,no,cellular,17,nov,266,1,-1,0,unknown,yes
126,23,student,single,unknown,no,565,no,no,cellular,28,may,162,7,-1,0,unknown,no
127,23,student,single,unknown,no,854,yes,no,unknown,28,may,664,2,-1,0,unknown,yes
128,23,student,single,unknown,no,2530,no,no,cellular,12,may,411,1,-1,0,unknown,yes
129,23,technician,single,secondary,no,-782,yes,yes,unknown,19,jun,197,10,-1,0,unknown,no
130,23,technician,single,secondary,no,4,yes,no,cellular,8,may,763,1,-1,0,unknown,yes
131,23,technician,single,secondary,no,598,no,no,cellular,11,nov,406,1,195,1,failure,yes
132,23,technician,single,secondary,no,598,no,no,cellular,30,apr,166,1,-1,0,unknown,no
133,23,technician,single,secondary,no,1587,yes,yes,cellular,14,may,502,2,-1,0,unknown,no
134,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes
135,23,technician,single,unknown,no,231,yes,no,cellular,7,may,560,3,367,1,other,no
136,23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,-1,0,unknown,yes
137,24,admin.,married,secondary,no,230,yes,no,cellular,15,may,73,1,-1,0,unknown,no
138,24,admin.,single,secondary,no,166,no,no,cellular,10,sep,256,2,-1,0,unknown,yes
139,24,admin.,single,secondary,no,172,no,no,cellular,3,feb,114,1,-1,0,unknown,no
140,24,admin.,single,secondary,no,1235,yes,yes,unknown,30,may,76,3,-1,0,unknown,no
141,24,admin.,single,secondary,no,1295,no,no,cellular,21,apr,476,1,-1,0,unknown,yes
142,24,admin.,single,tertiary,no,-61,no,no,cellular,11,mar,95,4,-1,0,unknown,yes
143,24,admin.,single,tertiary,no,0,yes,no,cellular,27,may,122,2,-1,0,unknown,yes
144,24,admin.,single,tertiary,no,674,yes,no,cellular,6,jul,267,1,-1,0,unknown,yes
145,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,-1,0,unknown,yes
146,24,blue-collar,married,secondary,no,272,no,no,cellular,16,nov,105,2,94,2,success,yes
147,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes
148,24,blue-collar,married,secondary,no,1222,yes,no,cellular,20,apr,369,1,-1,0,unknown,no
149,24,blue-collar,single,primary,no,1033,yes,no,cellular,24,nov,283,1,-1,0,unknown,no
150,24,blue-collar,single,secondary,no,1,yes,no,cellular,11,may,79,2,-1,0,unknown,no
151,24,blue-collar,single,secondary,no,167,no,yes,cellular,25,may,288,1,96,2,success,yes
152,24,blue-collar,single,secondary,no,327,yes,no,unknown,28,may,333,2,-1,0,unknown,no
153,24,blue-collar,single,secondary,no,476,yes,no,unknown,4,jun,161,1,-1,0,unknown,no
154,24,blue-collar,single,secondary,no,833,yes,no,cellular,15,may,956,1,-1,0,unknown,yes
155,24,blue-collar,single,secondary,no,1857,yes,no,cellular,8,oct,147,1,92,5,other,yes
156,24,blue-collar,single,secondary,no,9883,no,no,cellular,8,jul,210,5,-1,0,unknown,yes
157,24,blue-collar,single,secondary,yes,-203,yes,no,unknown,12,jun,465,3,-1,0,unknown,yes
158,24,management,married,secondary,no,2278,yes,no,unknown,27,may,77,4,-1,0,unknown,no
159,24,management,married,unknown,no,448,no,no,cellular,14,apr,324,1,-1,0,unknown,yes
160,24,management,single,secondary,no,86,no,no,unknown,2,jun,1075,2,-1,0,unknown,no
161,24,management,single,tertiary,no,1,no,no,cellular,14,may,396,5,-1,0,unknown,yes
162,24,management,single,tertiary,no,393,no,no,cellular,27,sep,1298,1,-1,0,unknown,yes
163,24,management,single,tertiary,no,1030,no,no,cellular,4,mar,396,2,-1,0,unknown,yes
164,24,management,single,tertiary,no,1506,no,no,cellular,12,jun,239,2,95,4,success,yes
165,24,management,single,tertiary,no,2845,no,no,cellular,30,apr,779,2,-1,0,unknown,yes
166,24,services,married,secondary,no,4500,yes,no,cellular,11,may,733,2,-1,0,unknown,yes
167,24,services,single,secondary,no,11,yes,no,unknown,27,jun,114,4,-1,0,unknown,no
168,24,services,single,secondary,no,414,yes,no,cellular,18,may,493,1,370,1,other,yes
169,24,services,single,secondary,no,1299,yes,yes,cellular,18,may,113,2,-1,0,unknown,no
170,24,services,single,unknown,no,2022,no,no,cellular,23,apr,159,4,-1,0,unknown,yes
171,24,student,single,primary,no,474,no,no,cellular,30,apr,551,1,-1,0,unknown,yes
172,24,student,single,primary,no,1235,no,no,cellular,14,jul,334,4,93,6,other,yes
173,24,student,single,secondary,no,125,no,no,cellular,9,nov,263,1,90,1,failure,yes
174,24,student,single,secondary,no,139,no,no,cellular,9,sep,430,4,-1,0,unknown,yes
175,24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92,3,failure,yes
176,24,student,single,secondary,no,382,no,no,cellular,30,apr,567,2,-1,0,unknown,yes
177,24,student,single,secondary,no,387,no,no,telephone,4,may,340,8,-1,0,unknown,yes
178,24,student,single,secondary,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,no
179,24,student,single,secondary,no,431,no,no,cellular,19,aug,418,11,185,5,success,yes
180,24,student,single,secondary,no,822,no,no,cellular,27,oct,184,1,91,2,failure,yes
181,24,student,single,secondary,no,1234,no,no,cellular,21,jul,314,1,156,2,success,yes
182,24,student,single,secondary,no,1250,no,no,cellular,25,mar,411,2,-1,0,unknown,yes
183,24,student,single,secondary,no,1809,no,no,cellular,11,oct,165,1,95,2,success,yes
184,24,student,single,secondary,no,1925,no,no,cellular,11,aug,1363,1,-1,0,unknown,yes
185,24,student,single,secondary,no,3176,no,no,cellular,13,jan,108,2,-1,0,unknown,yes
186,24,student,single,secondary,no,4126,no,no,cellular,5,apr,907,4,185,7,failure,yes
187,24,student,single,secondary,no,8165,no,no,cellular,15,sep,216,1,-1,0,unknown,yes
188,24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,1,-1,0,unknown,yes
189,24,student,single,secondary,no,23878,no,no,cellular,26,may,133,1,97,1,success,yes
190,24,student,single,tertiary,no,235,no,no,cellular,9,feb,98,1,92,1,success,yes
191,24,student,single,tertiary,no,235,no,no,cellular,9,nov,118,1,-1,0,unknown,yes
192,24,student,single,tertiary,no,834,no,no,cellular,9,sep,679,1,-1,0,unknown,yes
193,24,student,single,tertiary,no,3415,no,no,cellular,27,apr,97,1,-1,0,unknown,yes
194,24,technician,married,secondary,no,556,yes,no,cellular,6,nov,368,2,80,2,success,yes
195,24,technician,married,secondary,no,556,yes,no,cellular,8,feb,278,1,94,4,success,yes
196,24,technician,married,secondary,no,556,yes,no,cellular,18,aug,460,2,-1,0,unknown,yes
197,24,technician,single,secondary,no,-126,yes,yes,unknown,13,may,382,2,-1,0,unknown,no
198,24,technician,single,secondary,no,135,yes,yes,cellular,18,may,250,1,-1,0,unknown,no
199,24,technician,single,secondary,no,403,no,no,unknown,17,jun,247,1,-1,0,unknown,yes
200,24,technician,single,secondary,no,598,no,no,cellular,12,may,762,1,182,2,success,yes
201,24,technician,single,secondary,no,726,no,no,cellular,8,sep,445,2,-1,0,unknown,yes
202,24,unemployed,single,secondary,no,2573,no,no,cellular,24,may,375,2,-1,0,unknown,yes
203,25,admin.,married,secondary,no,894,yes,no,unknown,28,may,328,1,-1,0,unknown,no
204,25,admin.,married,tertiary,no,906,no,no,cellular,26,may,253,1,-1,0,unknown,yes
205,25,admin.,single,secondary,no,82,no,yes,cellular,7,apr,104,2,-1,0,unknown,yes
206,25,admin.,single,secondary,no,96,yes,no,unknown,9,may,176,2,-1,0,unknown,no
207,25,admin.,single,secondary,no,120,yes,no,unknown,3,jun,542,1,-1,0,unknown,no
208,25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,2,-1,0,unknown,yes
209,25,admin.,single,secondary,no,131,yes,yes,unknown,9,may,237,1,-1,0,unknown,no
210,25,admin.,single,secondary,no,184,no,yes,telephone,11,jul,437,7,-1,0,unknown,no
211,25,admin.,single,secondary,no,483,no,yes,cellular,3,feb,189,1,-1,0,unknown,yes
212,25,admin.,single,secondary,no,483,no,yes,cellular,30,apr,68,1,86,1,success,no
213,25,admin.,single,secondary,no,507,yes,no,cellular,15,may,832,1,367,3,failure,yes
214,25,admin.,single,secondary,no,654,no,no,cellular,8,apr,216,1,-1,0,unknown,no
215,25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,-1,0,unknown,yes
216,25,admin.,single,secondary,no,1871,no,no,cellular,8,sep,260,1,96,1,success,yes
217,25,admin.,single,tertiary,no,220,no,no,cellular,26,may,68,1,-1,0,unknown,no
218,25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,yes
219,25,admin.,single,tertiary,no,1141,yes,no,cellular,5,may,718,1,347,1,failure,no
220,25,admin.,single,tertiary,no,1185,no,no,cellular,7,oct,290,1,114,1,failure,yes
221,25,admin.,single,tertiary,no,1734,no,no,cellular,19,oct,366,1,-1,0,unknown,no
222,25,admin.,single,tertiary,no,3730,yes,no,cellular,27,feb,353,1,-1,0,unknown,yes
223,25,blue-collar,married,secondary,no,0,no,yes,cellular,15,jul,1424,4,-1,0,unknown,yes
224,25,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504,3,-1,0,unknown,no
225,25,blue-collar,married,secondary,no,1782,yes,no,unknown,19,jun,549,1,-1,0,unknown,no
226,25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
227,25,blue-collar,single,primary,no,17,yes,no,unknown,13,may,97,2,-1,0,unknown,no
228,25,blue-collar,single,primary,no,292,yes,yes,cellular,18,may,1027,2,-1,0,unknown,yes
229,25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,1499,3,-1,0,unknown,yes
230,25,blue-collar,single,secondary,no,-375,yes,no,cellular,14,jul,61,2,-1,0,unknown,no
231,25,blue-collar,single,secondary,no,-250,yes,no,unknown,13,may,456,1,-1,0,unknown,no
232,25,blue-collar,single,secondary,no,0,no,no,cellular,23,apr,163,1,-1,0,unknown,yes
233,25,blue-collar,single,secondary,no,189,no,yes,cellular,8,jul,687,2,-1,0,unknown,yes
234,25,blue-collar,single,secondary,no,192,no,no,telephone,4,jul,112,2,-1,0,unknown,no
235,25,blue-collar,single,secondary,no,217,yes,no,cellular,18,may,504,1,-1,0,unknown,yes
236,25,blue-collar,single,secondary,no,303,no,no,cellular,18,mar,265,1,-1,0,unknown,yes
237,25,blue-collar,single,secondary,no,389,no,no,cellular,3,jun,837,1,-1,0,unknown,yes
238,25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,418,1,-1,0,unknown,yes
239,25,blue-collar,single,secondary,no,543,yes,no,cellular,15,may,302,1,-1,0,unknown,no
240,25,blue-collar,single,secondary,no,2007,no,no,cellular,12,jan,265,2,-1,0,unknown,yes
241,25,entrepreneur,single,tertiary,no,347,no,no,cellular,20,aug,267,1,-1,0,unknown,yes
242,25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,-1,0,unknown,yes
243,25,management,married,secondary,no,2228,yes,no,cellular,23,jul,754,1,-1,0,unknown,yes
244,25,management,married,tertiary,no,-242,yes,yes,cellular,18,may,600,4,332,4,other,yes
245,25,management,married,unknown,no,448,no,no,cellular,5,feb,151,1,297,1,success,yes
246,25,management,single,secondary,no,1272,yes,no,cellular,24,jul,342,2,-1,0,unknown,no
247,25,management,single,tertiary,no,3,yes,yes,cellular,16,apr,1034,1,-1,0,unknown,yes
248,25,management,single,tertiary,no,219,no,no,cellular,4,aug,576,1,96,1,success,yes
249,25,management,single,tertiary,no,219,no,no,cellular,30,apr,458,1,-1,0,unknown,yes
250,25,management,single,tertiary,no,316,no,no,cellular,27,mar,347,2,-1,0,unknown,yes
251,25,management,single,tertiary,no,362,no,no,cellular,3,jun,617,2,-1,0,unknown,yes
252,25,management,single,tertiary,no,528,no,no,cellular,14,aug,201,1,-1,0,unknown,yes
253,25,management,single,tertiary,no,943,no,no,cellular,30,apr,512,1,-1,0,unknown,yes
254,25,management,single,tertiary,no,1602,yes,no,cellular,26,may,154,1,-1,0,unknown,no
255,25,management,single,tertiary,no,2140,no,no,cellular,1,oct,81,1,-1,0,unknown,no
256,25,management,single,tertiary,no,2399,yes,no,unknown,3,jun,193,2,-1,0,unknown,no
257,25,management,single,tertiary,no,2506,no,no,cellular,17,feb,485,1,-1,0,unknown,yes
258,25,management,single,tertiary,no,3902,no,no,cellular,23,sep,856,1,-1,0,unknown,yes
259,25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,yes
260,25,services,divorced,secondary,no,1694,no,no,cellular,7,jul,159,2,-1,0,unknown,no
261,25,services,married,secondary,no,10,yes,no,cellular,7,may,51,1,294,1,failure,no
262,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
263,25,services,single,secondary,no,111,no,yes,cellular,7,jul,316,1,-1,0,unknown,no
264,25,services,single,secondary,no,162,yes,no,cellular,1,sep,531,2,-1,0,unknown,yes
265,25,services,single,secondary,no,199,no,no,cellular,16,aug,111,2,95,3,other,no
266,25,services,single,secondary,no,505,no,no,cellular,15,jun,284,1,-1,0,unknown,yes
267,25,services,single,secondary,no,594,no,no,cellular,4,jun,89,2,-1,0,unknown,yes
268,25,services,single,secondary,no,628,no,no,cellular,8,jul,266,1,-1,0,unknown,no
269,25,services,single,secondary,no,801,no,no,cellular,5,jun,255,2,-1,0,unknown,yes
270,25,services,single,secondary,no,895,yes,no,unknown,3,jun,167,1,-1,0,unknown,no
271,25,services,single,tertiary,no,12,no,no,cellular,12,jun,126,6,-1,0,unknown,yes
272,25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown,yes
273,25,student,single,secondary,no,8,no,no,cellular,22,apr,107,2,-1,0,unknown,yes
274,25,student,single,secondary,no,108,no,no,cellular,29,apr,305,3,-1,0,unknown,yes
275,25,student,single,secondary,no,304,no,no,cellular,26,may,226,2,-1,0,unknown,yes
276,25,student,single,secondary,no,469,no,no,cellular,21,aug,273,1,86,1,other,yes
277,25,student,single,secondary,no,469,no,no,cellular,24,feb,524,1,187,2,success,no
278,25,student,single,secondary,no,486,no,no,cellular,13,sep,273,3,199,4,failure,yes
279,25,student,single,secondary,no,679,no,no,cellular,25,oct,297,5,94,6,other,yes
280,25,student,single,secondary,no,703,no,no,cellular,5,may,1100,3,-1,0,unknown,no
281,25,student,single,secondary,no,1139,yes,no,unknown,15,may,22,3,-1,0,unknown,no
282,25,student,single,secondary,no,1608,no,no,cellular,30,apr,664,2,-1,0,unknown,yes
283,25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown,yes
284,25,student,single,secondary,no,1919,yes,no,cellular,15,may,264,1,351,4,failure,no
285,25,student,single,secondary,no,1957,no,no,cellular,24,jun,1207,4,385,1,failure,yes
286,25,student,single,secondary,no,2354,no,no,cellular,5,feb,226,7,-1,0,unknown,yes
287,25,student,single,secondary,no,2975,no,no,cellular,2,sep,799,2,-1,0,unknown,yes
288,25,student,single,secondary,no,3090,no,no,cellular,21,aug,139,1,-1,0,unknown,no
289,25,student,single,secondary,no,3713,no,no,cellular,24,may,323,2,353,3,other,yes
290,25,student,single,tertiary,no,58,no,no,cellular,24,jul,139,5,-1,0,unknown,yes
291,25,student,single,tertiary,no,326,no,no,cellular,26,may,390,1,-1,0,unknown,yes
292,25,student,single,tertiary,no,505,yes,no,cellular,6,may,37,1,-1,0,unknown,no
293,25,student,single,unknown,no,3,no,no,cellular,26,may,170,1,-1,0,unknown,yes
294,25,student,single,unknown,no,277,no,no,cellular,27,may,311,2,-1,0,unknown,yes
295,25,student,single,unknown,no,480,no,no,cellular,8,sep,140,1,-1,0,unknown,yes
296,25,student,single,unknown,no,722,no,no,telephone,21,apr,623,2,-1,0,unknown,yes
297,25,student,single,unknown,no,2503,no,no,cellular,26,feb,100,2,-1,0,unknown,no
298,25,technician,married,secondary,no,-276,yes,no,unknown,4,jun,105,1,-1,0,unknown,no
299,25,technician,married,tertiary,no,839,yes,no,cellular,18,may,700,3,-1,0,unknown,yes
300,25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,-1,0,unknown,yes
301,25,technician,single,secondary,no,102,no,yes,cellular,8,jul,574,2,-1,0,unknown,yes
302,25,technician,single,secondary,no,139,no,yes,cellular,11,jan,202,1,91,1,success,yes
303,25,technician,single,secondary,no,139,no,yes,cellular,12,oct,138,1,-1,0,unknown,yes
304,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
